"time_window_width","Time series type","time_series_type","ts_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","simulation_num"
"10 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-1.97709255111947e-07,3.51236688881938e-07,-0.562894655855282,0.576728496775432,-9.08152516497221e-07,5.12734006273326e-07,1
"10 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",8.11810864835976e-07,3.6059049452225e-07,2.25133739565585,0.0300731793326345,8.2447745714256e-08,1.5411739839577e-06,1
"10 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",4.88700225556544e-08,2.98840078034008e-07,0.163532357765256,0.870943817451077,-5.55591089826811e-07,6.5333113493812e-07,1
"10 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-4.53044488128953e-07,5.0932429738039e-07,-0.889501031973339,0.37918795655282,-1.48325011979437e-06,5.77161143536465e-07,1
"10 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",1.14534842638007e-06,5.17188394268426e-07,2.21456714627208,0.0327017789321211,9.92361573449296e-08,2.19146069541521e-06,1
"10 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",6.42217945354928e-07,5.57213231040946e-07,1.15255329482249,0.256109583031883,-4.8485219759594e-07,1.7692880883058e-06,1
"5 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-1.82257712054216e-07,3.98928061612267e-07,-0.456868617659088,0.649003614230899,-9.76149855180728e-07,6.11634431072296e-07,1
"5 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",3.34058798678415e-07,4.16899393180683e-07,0.801293559411909,0.425335273292257,-4.95597434033638e-07,1.16371503139047e-06,1
"5 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-6.55072535445234e-07,4.11921935058716e-07,-1.5902832058503,0.11571525994123,-1.47482331081793e-06,1.64678239927466e-07,1
"5 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-3.25051818112769e-07,4.77478826917712e-07,-0.680766978111027,0.497984628623097,-1.27526496598519e-06,6.25161329759652e-07,1
"5 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",2.87659061850047e-07,5.07213030314256e-07,0.567136577054854,0.572209368837707,-7.21727036561976e-07,1.29704516026207e-06,1
"5 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-2.73615219128446e-07,5.24036444794069e-07,-0.522130133975642,0.603022514575025,-1.31648097931735e-06,7.69250541060455e-07,1
"6 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-1.85116820333746e-07,4.11137543915992e-07,-0.450255207954376,0.65400197468257,-1.00597941181186e-06,6.35745771144367e-07,1
"6 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",6.43383763772823e-07,4.27727764572324e-07,1.50418985406787,0.137303081084614,-2.10602271970292e-07,1.49736979951594e-06,1
"6 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-2.87719714498793e-07,3.51786961708928e-07,-0.817880552198677,0.416368384494895,-9.90085045298178e-07,4.14645616300592e-07,1
"6 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-3.05030523858505e-07,5.20155850308503e-07,-0.58642140365737,0.55959275669065,-1.34355518689435e-06,7.33494139177337e-07,1
"6 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",6.28702265075579e-07,5.11531039573537e-07,1.22905985450996,0.223413423980098,-3.92602407726631e-07,1.65000693787779e-06,1
"6 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",7.09718782334276e-08,4.7872111832021e-07,0.148253075783374,0.882595066341335,-8.84825673205763e-07,1.02676942967262e-06,1
"7 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-4.53662199780848e-07,4.02790362609945e-07,-1.12629854607561,0.264842699996786,-1.26054825532059e-06,3.53223855758892e-07,1
"7 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",6.89204546247263e-07,3.80467772556152e-07,1.81146629481094,0.0754326986611492,-7.29639879465716e-08,1.4513730804411e-06,1
