"obs_beta","true_beta","sim","ts_length","method"
0.513778612312573,0.617,1,1825,"original"
0.582753563695339,0.617,1,1825,"Eke"
0.576799810152325,0.617,1,1825,"AWC"
0.573908392181075,0.617,2,1825,"original"
0.646038084928557,0.617,2,1825,"Eke"
0.55210729910619,0.617,2,1825,"AWC"
0.489484633457586,0.617,3,1825,"original"
0.756710125064675,0.617,3,1825,"Eke"
0.61873776181495,0.617,3,1825,"AWC"
0.441165477878536,0.617,4,1825,"original"
0.511190694225246,0.617,4,1825,"Eke"
0.465170897192977,0.617,4,1825,"AWC"
0.559965893855204,0.617,5,1825,"original"
0.680269619506136,0.617,5,1825,"Eke"
0.605361910818924,0.617,5,1825,"AWC"
0.534447483000789,0.617,6,1825,"original"
0.903554087626756,0.617,6,1825,"Eke"
0.669238767687536,0.617,6,1825,"AWC"
0.616661437299377,0.617,7,1825,"original"
0.678108133823491,0.617,7,1825,"Eke"
0.618524265429029,0.617,7,1825,"AWC"
0.533050910537318,0.617,8,1825,"original"
0.423292605711458,0.617,8,1825,"Eke"
0.540548205861094,0.617,8,1825,"AWC"
0.513846011673198,0.617,9,1825,"original"
0.623889593723441,0.617,9,1825,"Eke"
0.480243337067856,0.617,9,1825,"AWC"
0.543459776110163,0.617,10,1825,"original"
0.769388012098672,0.617,10,1825,"Eke"
0.527759819242062,0.617,10,1825,"AWC"
0.580483881010567,0.617,1,3650,"original"
0.643989921907274,0.617,1,3650,"Eke"
0.603885705634407,0.617,1,3650,"AWC"
0.543811717014418,0.617,2,3650,"original"
0.546528549496419,0.617,2,3650,"Eke"
0.473178877419003,0.617,2,3650,"AWC"
0.553298698041254,0.617,3,3650,"original"
0.524900586218072,0.617,3,3650,"Eke"
0.45089990339168,0.617,3,3650,"AWC"
0.548077786802877,0.617,4,3650,"original"
0.630942914602476,0.617,4,3650,"Eke"
0.519429180216892,0.617,4,3650,"AWC"
0.557952373911195,0.617,5,3650,"original"
0.521940127029802,0.617,5,3650,"Eke"
0.569136152566154,0.617,5,3650,"AWC"
0.562202270445247,0.617,6,3650,"original"
0.731352421355161,0.617,6,3650,"Eke"
0.702198087196167,0.617,6,3650,"AWC"
0.528959579999164,0.617,7,3650,"original"
0.609495936314856,0.617,7,3650,"Eke"
0.653598912641265,0.617,7,3650,"AWC"
0.532137803013919,0.617,8,3650,"original"
0.4812297455616,0.617,8,3650,"Eke"
0.488940444525732,0.617,8,3650,"AWC"
0.509528967402379,0.617,9,3650,"original"
0.451239707639549,0.617,9,3650,"Eke"
0.492136285108366,0.617,9,3650,"AWC"
0.599957365424649,0.617,10,3650,"original"
0.752996111304193,0.617,10,3650,"Eke"
0.580113187634337,0.617,10,3650,"AWC"
0.804364264448968,0.9,1,1825,"original"
0.700625855919138,0.9,1,1825,"Eke"
0.76120741918664,0.9,1,1825,"AWC"
0.847320729265796,0.9,2,1825,"original"
0.941241555530425,0.9,2,1825,"Eke"
0.781917603966684,0.9,2,1825,"AWC"
0.736429651592075,0.9,3,1825,"original"
0.719323262504698,0.9,3,1825,"Eke"
0.865019691174827,0.9,3,1825,"AWC"
0.751597749554813,0.9,4,1825,"original"
0.96300879654857,0.9,4,1825,"Eke"
0.842911744929417,0.9,4,1825,"AWC"
0.835127157592344,0.9,5,1825,"original"
1.03864640548694,0.9,5,1825,"Eke"
0.884372768660426,0.9,5,1825,"AWC"
0.776445663953026,0.9,6,1825,"original"
0.824153009229775,0.9,6,1825,"Eke"
0.730288860562698,0.9,6,1825,"AWC"
0.841635049661771,0.9,7,1825,"original"
1.04087519868765,0.9,7,1825,"Eke"
0.911802366453251,0.9,7,1825,"AWC"
0.840258141081905,0.9,8,1825,"original"
0.973327839720131,0.9,8,1825,"Eke"
0.931497921948428,0.9,8,1825,"AWC"
0.888983350407867,0.9,9,1825,"original"
0.938026261360638,0.9,9,1825,"Eke"
0.964394372487115,0.9,9,1825,"AWC"
0.781127742241313,0.9,10,1825,"original"
0.995398192499495,0.9,10,1825,"Eke"
0.72244396229318,0.9,10,1825,"AWC"
0.80629283188305,0.9,1,3650,"original"
0.890898533482859,0.9,1,3650,"Eke"
0.919566654271044,0.9,1,3650,"AWC"
0.806370111809104,0.9,2,3650,"original"
0.907394233406951,0.9,2,3650,"Eke"
0.773777611804803,0.9,2,3650,"AWC"
0.774156722912035,0.9,3,3650,"original"
0.890294822259216,0.9,3,3650,"Eke"
0.809099625285098,0.9,3,3650,"AWC"
0.768184883362247,0.9,4,3650,"original"
0.942687075973873,0.9,4,3650,"Eke"
0.815564723969884,0.9,4,3650,"AWC"
0.749726855621675,0.9,5,3650,"original"
0.886505210375628,0.9,5,3650,"Eke"
0.723724075094118,0.9,5,3650,"AWC"
0.800722072663843,0.9,6,3650,"original"
0.76946522674558,0.9,6,3650,"Eke"
0.862088976728298,0.9,6,3650,"AWC"
0.841211966549925,0.9,7,3650,"original"
0.758932162383248,0.9,7,3650,"Eke"
0.871305805284556,0.9,7,3650,"AWC"
0.792577870222977,0.9,8,3650,"original"
0.885474265106654,0.9,8,3650,"Eke"
0.857001892253921,0.9,8,3650,"AWC"
0.793299259555546,0.9,9,3650,"original"
0.903823633281542,0.9,9,3650,"Eke"
0.753493218166149,0.9,9,3650,"AWC"
0.792657146824443,0.9,10,3650,"original"
0.72971532734928,0.9,10,3650,"Eke"
0.769503008062287,0.9,10,3650,"AWC"
-0.372904122341223,-0.421,1,1825,"original"
-0.47675678389602,-0.421,1,1825,"Eke"
-0.434226002056734,-0.421,1,1825,"AWC"
-0.373650110570809,-0.421,2,1825,"original"
-0.221563109664629,-0.421,2,1825,"Eke"
-0.256991167226598,-0.421,2,1825,"AWC"
-0.415599251038,-0.421,3,1825,"original"
-0.315391344368386,-0.421,3,1825,"Eke"
-0.484851239084872,-0.421,3,1825,"AWC"
-0.302030778319939,-0.421,4,1825,"original"
-0.287749123027898,-0.421,4,1825,"Eke"
-0.452106579164842,-0.421,4,1825,"AWC"
-0.387802289579382,-0.421,5,1825,"original"
-0.356445776428501,-0.421,5,1825,"Eke"
-0.517164880422025,-0.421,5,1825,"AWC"
-0.297660931500335,-0.421,6,1825,"original"
-0.469568739594935,-0.421,6,1825,"Eke"
-0.443746391091224,-0.421,6,1825,"AWC"
-0.372478398469347,-0.421,7,1825,"original"
-0.118833971860517,-0.421,7,1825,"Eke"
-0.347453127933643,-0.421,7,1825,"AWC"
-0.384925373387889,-0.421,8,1825,"original"
