"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,2,2,2,0.5,0
2,2,2,2,0.5,0
3,182,2,2,0.5,0
4,2,2,168,0.5,0
5,2,2,9,0.5,0
6,162,2,44,0.5,0
7,2,2,4,0.5,0
8,2,30,2,0.5,0
9,2,2,2,0.5,0
10,127,2,2,0.5,0
11,2,2,3,0.5,0
12,142,2,2,0.5,0
13,82,2,2,0.5,0
14,100,132,2,0.5,0
15,2,2,82,0.5,0
16,2,134,2,0.5,0
17,22,84,2,0.5,0
18,55,168,2,0.5,0
19,2,162,137,0.5,0
20,2,126,2,0.5,0
21,2,2,206,0.5,0
22,80,52,2,0.5,0
23,2,2,17,0.5,0
24,2,2,2,0.5,0
25,2,2,2,0.5,0
26,134,2,11,0.5,0
27,2,134,2,0.5,0
28,8,138,2,0.5,0
29,122,126,7,0.5,0
30,128,2,2,0.5,0
31,2,116,32,0.5,0
32,102,2,82,0.5,0
33,330,38,192,0.5,0
34,2,56,2,0.5,0
35,2,2,2,0.5,0
36,24,152,2,0.5,0
37,2,2,154,0.5,0
38,2,6,166,0.5,0
39,98,2,6,0.5,0
40,2,2,2,0.5,0
41,102,2,174,0.5,0
42,2,2,2,0.5,0
43,132,132,11,0.5,0
44,2,88,196,0.5,0
45,2,76,160,0.5,0
46,2,2,2,0.5,0
47,2,2,5,0.5,0
48,32,136,162,0.5,0
49,118,2,2,0.5,0
50,152,2,2,0.5,0
51,66,4,2,0.5,0
52,2,214,9,0.5,0
53,2,2,54,0.5,0
54,78,2,2,0.5,0
55,2,2,2,0.5,0
56,2,2,5,0.5,0
57,2,2,150,0.5,0
58,2,2,2,0.5,0
59,26,2,2,0.5,0
60,2,2,2,0.5,0
61,2,2,2,0.5,0
62,2,12,14,0.5,0
63,158,2,180,0.5,0
64,2,32,104,0.5,0
65,16,38,136,0.5,0
66,138,2,128,0.5,0
67,2,112,176,0.5,0
68,2,2,2,0.5,0
69,2,188,3,0.5,0
70,2,38,2,0.5,0
71,2,66,210,0.5,0
72,2,2,5,0.5,0
73,2,2,2,0.5,0
74,2,2,180,0.5,0
75,2,2,84,0.5,0
76,2,2,170,0.5,0
77,20,168,116,0.5,0
78,2,2,2,0.5,0
79,2,2,3,0.5,0
80,50,2,152,0.5,0
81,2,2,2,0.5,0
82,72,2,2,0.5,0
83,46,2,2,0.5,0
84,90,154,208,0.5,0
85,2,2,2,0.5,0
86,2,2,2,0.5,0
87,10,132,2,0.5,0
88,128,2,92,0.5,0
89,76,2,7,0.5,0
90,2,2,2,0.5,0
91,2,60,2,0.5,0
92,2,72,2,0.5,0
93,162,168,2,0.5,0
94,24,122,138,0.5,0
95,2,2,2,0.5,0
96,2,2,12,0.5,0
97,180,2,2,0.5,0
98,2,160,126,0.5,0
99,106,2,210,0.5,0
100,2,2,74,0.5,0
101,2,2,2,0.5,0
102,2,2,2,0.5,0
103,232,2,2,0.5,0
104,22,130,2,0.5,0
105,2,2,170,0.5,0
106,2,2,2,0.5,0
107,2,154,2,0.5,0
108,126,2,76,0.5,0
109,2,2,2,0.5,0
110,150,172,2,0.5,0
111,2,2,154,0.5,0
112,6,128,158,0.5,0
113,126,178,2,0.5,0
114,172,2,2,0.5,0
115,2,2,2,0.5,0
116,2,2,2,0.5,0
117,3,3,4,0.5,0
118,46,124,18,0.5,0
119,2,2,2,0.5,0
120,62,2,2,0.5,0
121,130,2,164,0.5,0
122,20,2,2,0.5,0
123,2,2,154,0.5,0
124,138,124,2,0.5,0
125,2,2,5,0.5,0
126,2,4,2,0.5,0
127,2,2,7,0.5,0
128,2,2,2,0.5,0
129,2,2,2,0.5,0
130,2,158,2,0.5,0
131,4,2,2,0.5,0
132,138,20,2,0.5,0
133,2,2,46,0.5,0
134,2,2,2,0.5,0
135,156,2,170,0.5,0
136,68,2,2,0.5,0
137,68,2,2,0.5,0
138,70,2,26,0.5,0
139,2,12,2,0.5,0
140,360,132,2,0.5,0
141,2,20,130,0.5,0
142,2,100,6,0.5,0
143,2,2,71,0.5,0
144,2,2,123,0.5,0
145,2,2,2,0.5,0
146,2,2,7,0.5,0
147,2,2,2,0.5,0
148,2,2,80,0.5,0
149,2,2,3,0.5,0
150,3,2,68,0.5,0
151,68,2,2,0.5,0
152,32,2,13,0.5,0
153,2,2,2,0.5,0
154,180,2,24,0.5,0
155,188,116,2,0.5,0
156,2,156,2,0.5,0
157,2,72,2,0.5,0
158,2,NA,2,0.5,0
159,2,2,3,0.5,0
160,170,2,NA,0.5,0
161,134,2,2,0.5,0
162,2,2,2,0.5,0
163,202,2,15,0.5,0
164,142,4,28,0.5,0
165,2,2,10,0.5,0
166,2,2,180,0.5,0
167,108,96,42,0.5,0
168,2,2,2,0.5,0
169,2,2,80,0.5,0
170,120,126,2,0.5,0
171,NA,62,112,0.5,0
172,2,142,2,0.5,0
173,166,2,2,0.5,0
174,2,2,2,0.5,0
175,19,86,2,0.5,0
176,2,2,2,0.5,0
177,146,106,2,0.5,0
178,2,144,36,0.5,0
179,30,2,2,0.5,0
180,2,2,2,0.5,0
181,2,23,2,0.5,0
182,2,2,NA,0.5,0
183,2,2,2,0.5,0
184,2,2,2,0.5,0
185,2,80,2,0.5,0
186,2,40,2,0.5,0
187,158,2,146,0.5,0
188,2,38,2,0.5,0
189,150,46,6,0.5,0
190,2,348,3,0.5,0
191,2,2,2,0.5,0
192,2,136,5,0.5,0
193,2,2,81,0.5,0
194,2,2,2,0.5,0
195,2,2,17,0.5,0
196,140,2,2,0.5,0
197,2,168,224,0.5,0
198,4,2,8,0.5,0
199,2,44,37,0.5,0
200,60,192,2,0.5,0
201,2,2,2,0.5,0
202,2,108,2,0.5,0
203,38,2,20,0.5,0
204,152,91,172,0.5,0
205,2,2,2,0.5,0
206,2,103,2,0.5,0
207,54,2,3,0.5,0
208,2,2,144,0.5,0
209,124,2,144,0.5,0
210,2,112,90,0.5,0
211,2,140,2,0.5,0
212,2,2,2,0.5,0
213,2,134,14,0.5,0
214,2,116,2,0.5,0
215,2,134,126,0.5,0
216,2,186,174,0.5,0
217,2,2,2,0.5,0
218,164,2,2,0.5,0
219,122,20,2,0.5,0
220,14,2,10,0.5,0
221,2,2,2,0.5,0
222,2,130,2,0.5,0
223,59,2,2,0.5,0
224,2,2,2,0.5,0
225,110,2,2,0.5,0
226,2,142,2,0.5,0
227,2,2,198,0.5,0
228,8,100,2,0.5,0
229,2,42,2,0.5,0
230,2,2,238,0.5,0
231,2,2,200,0.5,0
232,2,138,46,0.5,0
233,2,2,2,0.5,0
234,256,2,2,0.5,0
235,2,2,2,0.5,0
236,2,18,2,0.5,0
237,2,2,2,0.5,0
238,72,76,3,0.5,0
239,102,104,168,0.5,0
240,2,2,2,0.5,0
241,2,86,142,0.5,0
242,102,2,2,0.5,0
243,2,82,2,0.5,0
244,2,2,210,0.5,0
245,104,118,152,0.5,0
246,8,144,2,0.5,0
247,2,2,2,0.5,0
248,2,2,2,0.5,0
249,2,6,2,0.5,0
250,2,2,2,0.5,0
251,172,2,2,0.5,0
252,2,2,2,0.5,0
253,2,100,2,0.5,0
254,2,2,2,0.5,0
255,2,2,130,0.5,0
256,2,2,2,0.5,0
257,2,140,140,0.5,0
258,146,2,170,0.5,0
259,146,2,21,0.5,0
260,96,2,2,0.5,0
261,2,7,2,0.5,0
262,6,2,148,0.5,0
263,2,2,2,0.5,0
264,2,2,2,0.5,0
265,106,8,2,0.5,0
266,2,154,2,0.5,0
267,30,168,2,0.5,0
268,134,122,2,0.5,0
269,2,137,128,0.5,0
270,58,2,2,0.5,0
271,35,2,2,0.5,0
272,132,2,2,0.5,0
273,144,2,3,0.5,0
274,106,2,2,0.5,0
275,154,2,20,0.5,0
276,162,2,2,0.5,0
277,4,2,148,0.5,0
278,2,2,13,0.5,0
279,2,72,2,0.5,0
280,2,2,2,0.5,0
281,2,2,2,0.5,0
282,2,2,96,0.5,0
283,2,6,2,0.5,0
284,2,18,2,0.5,0
285,54,2,2,0.5,0
286,104,11,2,0.5,0
287,2,2,2,0.5,0
288,28,37,2,0.5,0
289,2,120,2,0.5,0
290,142,132,358,0.5,0
291,2,2,4,0.5,0
292,4,163,2,0.5,0
293,118,2,3,0.5,0
294,2,48,2,0.5,0
295,2,2,2,0.5,0
