"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,193584,195582,NA,0.9,2.3
2,NA,185068,196864,0.9,2.3
3,NA,NA,194507,0.9,2.3
4,NA,186227,NA,0.9,2.3
5,NA,NA,NA,0.9,2.3
6,NA,NA,NA,0.9,2.3
7,197213,177115,NA,0.9,2.3
8,NA,195345,NA,0.9,2.3
9,195918,186583,NA,0.9,2.3
10,NA,NA,NA,0.9,2.3
11,NA,NA,NA,0.9,2.3
12,NA,190795,NA,0.9,2.3
13,190750,183536,NA,0.9,2.3
14,199737,NA,NA,0.9,2.3
15,NA,NA,NA,0.9,2.3
16,NA,195960,NA,0.9,2.3
17,NA,185913,NA,0.9,2.3
18,NA,197774,NA,0.9,2.3
19,NA,NA,NA,0.9,2.3
20,NA,194915,NA,0.9,2.3
21,NA,189107,NA,0.9,2.3
22,188558,NA,NA,0.9,2.3
23,NA,195177,NA,0.9,2.3
24,NA,NA,NA,0.9,2.3
25,NA,NA,NA,0.9,2.3
26,NA,198428,NA,0.9,2.3
27,196280,NA,NA,0.9,2.3
28,NA,181451,NA,0.9,2.3
29,NA,186355,NA,0.9,2.3
30,NA,NA,NA,0.9,2.3
31,NA,177167,NA,0.9,2.3
32,198768,NA,NA,0.9,2.3
33,NA,182095,NA,0.9,2.3
34,NA,NA,187668,0.9,2.3
35,187347,NA,NA,0.9,2.3
36,NA,NA,NA,0.9,2.3
37,193107,166816,NA,0.9,2.3
38,NA,181640,NA,0.9,2.3
39,NA,NA,NA,0.9,2.3
40,197821,NA,NA,0.9,2.3
41,NA,183772,NA,0.9,2.3
42,NA,178970,NA,0.9,2.3
43,NA,NA,NA,0.9,2.3
44,NA,188102,NA,0.9,2.3
45,184944,185970,NA,0.9,2.3
46,NA,181924,NA,0.9,2.3
47,NA,184953,NA,0.9,2.3
48,NA,180416,NA,0.9,2.3
49,NA,NA,NA,0.9,2.3
50,NA,187467,NA,0.9,2.3
51,NA,NA,196571,0.9,2.3
52,198865,179144,NA,0.9,2.3
53,194989,NA,NA,0.9,2.3
54,NA,NA,NA,0.9,2.3
55,186286,NA,NA,0.9,2.3
56,NA,194266,NA,0.9,2.3
57,NA,NA,NA,0.9,2.3
58,NA,NA,NA,0.9,2.3
59,NA,176772,NA,0.9,2.3
60,198065,NA,NA,0.9,2.3
61,NA,NA,NA,0.9,2.3
62,193897,NA,NA,0.9,2.3
63,191566,182481,NA,0.9,2.3
64,NA,NA,NA,0.9,2.3
65,188986,NA,NA,0.9,2.3
66,195683,183562,196324,0.9,2.3
67,NA,NA,NA,0.9,2.3
68,184874,126541,NA,0.9,2.3
69,NA,171172,NA,0.9,2.3
70,NA,NA,NA,0.9,2.3
71,182211,NA,NA,0.9,2.3
72,NA,NA,NA,0.9,2.3
73,190168,185237,NA,0.9,2.3
74,181670,NA,186467,0.9,2.3
75,NA,177852,NA,0.9,2.3
76,NA,NA,NA,0.9,2.3
77,NA,NA,NA,0.9,2.3
78,NA,182640,NA,0.9,2.3
79,NA,NA,187508,0.9,2.3
80,181365,NA,NA,0.9,2.3
81,192855,176615,NA,0.9,2.3
82,193967,198659,NA,0.9,2.3
83,NA,186021,NA,0.9,2.3
84,199589,178526,NA,0.9,2.3
85,190962,NA,NA,0.9,2.3
86,184524,185895,NA,0.9,2.3
87,NA,NA,NA,0.9,2.3
88,NA,196735,NA,0.9,2.3
89,NA,198129,NA,0.9,2.3
90,NA,191285,NA,0.9,2.3
91,188992,176523,NA,0.9,2.3
92,NA,192743,NA,0.9,2.3
93,NA,166677,NA,0.9,2.3
94,NA,193127,NA,0.9,2.3
95,186282,NA,NA,0.9,2.3
96,NA,192168,NA,0.9,2.3
97,NA,193780,NA,0.9,2.3
98,NA,NA,NA,0.9,2.3
99,199217,NA,NA,0.9,2.3
100,199963,182776,NA,0.9,2.3
101,NA,NA,NA,0.9,2.3
102,NA,NA,NA,0.9,2.3
103,199930,NA,NA,0.9,2.3
104,NA,174764,NA,0.9,2.3
105,NA,NA,NA,0.9,2.3
106,195872,NA,NA,0.9,2.3
107,NA,189815,NA,0.9,2.3
108,NA,183414,NA,0.9,2.3
109,NA,177423,NA,0.9,2.3
110,NA,188814,NA,0.9,2.3
111,195747,183681,NA,0.9,2.3
112,184614,169074,NA,0.9,2.3
113,186061,184776,NA,0.9,2.3
114,NA,184674,NA,0.9,2.3
115,NA,NA,NA,0.9,2.3
116,173552,NA,NA,0.9,2.3
117,NA,169082,NA,0.9,2.3
118,NA,NA,NA,0.9,2.3
119,NA,NA,NA,0.9,2.3
120,NA,176466,NA,0.9,2.3
121,NA,NA,NA,0.9,2.3
122,189031,NA,NA,0.9,2.3
123,NA,177779,NA,0.9,2.3
124,181985,193388,186509,0.9,2.3
125,NA,NA,NA,0.9,2.3
126,NA,NA,NA,0.9,2.3
127,NA,NA,NA,0.9,2.3
128,NA,196842,NA,0.9,2.3
129,NA,184050,NA,0.9,2.3
130,191191,NA,NA,0.9,2.3
131,NA,181264,NA,0.9,2.3
132,196342,180979,194477,0.9,2.3
133,198903,NA,NA,0.9,2.3
134,NA,189006,NA,0.9,2.3
135,193555,NA,NA,0.9,2.3
136,NA,173351,NA,0.9,2.3
137,NA,NA,NA,0.9,2.3
138,181641,NA,NA,0.9,2.3
139,NA,NA,NA,0.9,2.3
140,NA,177173,NA,0.9,2.3
141,193938,NA,NA,0.9,2.3
142,198683,189479,NA,0.9,2.3
143,197101,159843,NA,0.9,2.3
144,183432,NA,NA,0.9,2.3
145,185529,NA,NA,0.9,2.3
146,NA,NA,NA,0.9,2.3
147,NA,189466,NA,0.9,2.3
148,NA,180755,NA,0.9,2.3
149,191160,174995,NA,0.9,2.3
150,NA,198935,NA,0.9,2.3
151,NA,NA,NA,0.9,2.3
152,NA,195593,NA,0.9,2.3
153,NA,NA,NA,0.9,2.3
154,NA,185012,191532,0.9,2.3
155,NA,179351,NA,0.9,2.3
156,NA,NA,NA,0.9,2.3
157,185506,NA,NA,0.9,2.3
158,NA,181789,NA,0.9,2.3
159,196579,NA,197286,0.9,2.3
160,NA,NA,NA,0.9,2.3
161,NA,NA,NA,0.9,2.3
162,NA,173988,NA,0.9,2.3
163,NA,192249,NA,0.9,2.3
164,177541,182220,NA,0.9,2.3
165,186925,NA,NA,0.9,2.3
166,186820,NA,NA,0.9,2.3
167,NA,195508,NA,0.9,2.3
168,NA,NA,NA,0.9,2.3
169,NA,199607,NA,0.9,2.3
170,NA,177022,NA,0.9,2.3
171,NA,188351,194404,0.9,2.3
172,NA,187355,NA,0.9,2.3
173,198981,NA,NA,0.9,2.3
174,NA,NA,NA,0.9,2.3
175,NA,167925,NA,0.9,2.3
176,NA,NA,NA,0.9,2.3
177,NA,199045,NA,0.9,2.3
178,186701,NA,NA,0.9,2.3
179,NA,194641,NA,0.9,2.3
180,NA,184432,NA,0.9,2.3
181,NA,196047,NA,0.9,2.3
182,193597,196372,NA,0.9,2.3
183,182952,NA,NA,0.9,2.3
184,NA,NA,NA,0.9,2.3
185,NA,NA,NA,0.9,2.3
186,185357,195968,NA,0.9,2.3
187,NA,NA,NA,0.9,2.3
188,NA,193021,NA,0.9,2.3
189,NA,NA,NA,0.9,2.3
190,NA,NA,NA,0.9,2.3
191,NA,186168,NA,0.9,2.3
192,183749,176918,192730,0.9,2.3
193,172625,195330,NA,0.9,2.3
194,NA,187788,NA,0.9,2.3
195,NA,173956,NA,0.9,2.3
196,NA,NA,NA,0.9,2.3
197,NA,NA,NA,0.9,2.3
198,NA,NA,NA,0.9,2.3
