"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
1,600,127367,142633,607.471900089206,1146.4,49.3
2,601,127401,142599,603.632995769773,1148.9,57.9
3,602,126982,143018,607.330825149853,1143.6,57.5
4,603,127042,142958,608.004794609304,1151.8,56.3
5,604,127157,142843,605.583128477164,1151.1,58.6
6,605,127084,142916,605.866025641026,1151.2,60
7,606,127487,142513,606.490627020039,1154.6,57.2
8,607,127028,142972,605.399483537766,1151.3,60.5
9,608,127263,142737,605.377250195669,1148.4,60.3
10,609,127247,142753,605.23702444764,1153.2,66.2
11,610,127213,142787,608.979390797148,1148.1,66.4
12,611,127244,142756,608.141425969295,1153.6,69.9
13,612,127096,142904,611.32375877307,1154.5,65.5
14,613,127089,142911,612.492448689815,1154.2,70.8
15,614,127495,142505,612.365342306199,1167,68.6
16,615,127129,142871,613.953933747412,1159.1,67
17,616,127333,142667,613.897932982411,1167.2,68.5
18,617,127204,142796,612.55954825462,1166.5,69.7
19,618,127116,142884,613.389778794813,1167.7,75.8
20,619,127468,142532,614.57510404843,1163.9,76.6
21,620,127552,142448,617.117258044004,1166.2,78.1
22,621,127049,142951,617.609484852358,1163.7,77.4
23,622,127411,142589,618.797917470112,1165.9,74.5
24,623,127015,142985,619.988857938719,1165.4,65
25,624,127291,142709,620.758052244484,1175.6,77.3
26,625,127500,142500,622.724300855574,1176.8,74.4
27,626,127271,142729,622.831191735954,1169.8,82.1
28,627,127483,142517,623.586680095682,1169.7,78.8
29,628,127319,142681,622.110243164924,1165,84.7
30,629,127155,142845,620.965696202532,1171.6,77.1
31,630,127172,142828,627.553044569994,1172.9,82.1
32,631,127348,142652,627.005920141076,1173.6,79.1
33,632,127630,142370,627.696017305001,1179.8,80.4
34,633,127221,142779,626.84606496341,1178.1,82.6
35,634,127124,142876,627.187346039155,1177.1,91
36,635,127350,142650,627.147032546267,1172,86.5
37,636,127175,142825,633.079355002539,1180.7,84.1
38,637,127644,142356,635.698151175953,1190.1,92.8
39,638,127066,142934,635.844935496232,1179,94.5
40,639,127127,142873,632.753070786375,1171.9,101.7
41,640,127565,142435,637.062947606483,1182,94.4
42,641,127156,142844,635.977205788193,1179.9,92
43,642,126936,143064,636.823582358236,1187.1,95.3
44,643,127320,142680,639.861202740421,1186.8,95.3
45,644,127333,142667,637.889917695473,1188.5,95.3
46,645,127437,142563,639.469009584664,1192.8,97.4
47,646,127278,142722,638.761092587843,1196.9,94.1
48,647,127368,142632,640.49098635076,1186.4,97.4
49,648,127262,142738,642.976601457614,1194.3,99.2
50,649,127292,142708,640.249808429119,1184,102.4
51,650,127044,142956,643.604902209804,1195.1,102.4
52,651,127568,142432,646.900893898173,1195.6,100.5
53,652,127239,142761,649.730045425049,1199,115
54,653,127108,142892,649.576165803109,1204.5,115.5
55,654,127335,142665,649.55049325026,1207.7,111.7
56,655,127060,142940,650.195134508946,1207.9,111.2
57,656,127232,142768,652.024371570754,1200.9,108.3
58,657,127138,142862,654.766334864727,1203.1,104.7
59,658,127074,142926,648.978177150193,1195.6,107.4
60,659,126993,143007,650.985277024409,1204.6,114.4
61,660,127141,142859,651.926940046717,1206.8,116.6
62,661,127403,142597,651.465101277255,1202.1,107.4
63,662,127285,142715,654.487441740031,1199.6,114.9
