"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
1,600,127061,142939,598.111921369689,1142.7,61.7
2,601,127606,142394,599.010570596484,1141.2,49.8
3,602,127790,142210,600.957360959651,1144,63.1
4,603,127749,142251,599.56538503911,1148.8,48.1
5,604,127495,142505,600.0033673813,1151.5,56.3
6,605,127740,142260,598.823171431852,1151.4,62.6
7,606,127416,142584,602.361851332398,1157,62
8,607,127160,142840,602.202972596377,1149.5,62
9,608,127296,142704,601.609431539629,1151.4,66.4
10,609,127510,142490,602.995375859616,1162.2,66.2
11,610,127182,142818,604.097710843374,1151.5,65.1
12,611,127615,142385,607.870944570813,1144.5,66.7
13,612,127388,142612,608.949699879952,1155.5,63.3
14,613,127488,142512,608.429222058099,1162.3,70.5
15,614,127132,142868,608.933521057786,1149.2,66.1
16,615,127482,142518,607.757199113955,1151.7,70.8
17,616,127206,142794,608.957865868861,1160.1,73
18,617,127386,142614,608.777901647467,1162.5,66.3
19,618,127525,142475,613.342452126337,1165.5,81.6
20,619,127214,142786,613.046847744829,1173.5,81.4
21,620,127153,142847,617.673935091278,1170.4,78.6
22,621,127002,142998,615.618880681107,1170.4,69.7
23,622,126981,143019,619.574577332498,1166,71.8
24,623,127262,142738,615.480778894472,1156,75.2
25,624,127205,142795,618.935959339263,1168.6,78.6
26,625,126960,143040,619.55924230867,1161.1,82.8
27,626,126969,143031,621.637891520244,1163.2,79.9
28,627,127368,142632,620.264918282022,1172.2,76.4
29,628,126818,143182,623.450970442725,1170.1,83.5
30,629,127429,142571,625.3625,1173.8,79.9
31,630,126966,143034,624.448678861789,1175.2,85.8
32,631,127054,142946,624.259136635681,1175.9,86.3
33,632,127199,142801,627.621739130435,1180.8,88.4
34,633,127135,142865,628.547309359857,1179.5,92.7
35,634,127240,142760,632.106319989703,1181.6,88.4
36,635,127361,142639,633.279832253145,1179.4,90
37,636,127301,142699,634.320550388584,1178.3,89.3
38,637,127375,142625,634.64772580853,1183.6,93.9
39,638,127152,142848,633.077330919436,1187.5,105.1
40,639,127236,142764,635.662257608835,1183.8,90.4
41,640,127077,142923,632.322104172065,1192,91.7
42,641,127258,142742,634.782375278251,1184.1,86.6
43,642,127057,142943,638.324768756423,1183.8,88.8
44,643,127613,142387,636.206310679612,1180.7,88.4
45,644,127188,142812,637.795934122491,1182.4,94.8
46,645,126920,143080,638.454008221994,1184.2,97.2
47,646,127169,142831,640.754112995791,1188,98
48,647,126852,143148,639.461557980208,1189.3,99.8
49,648,126903,143097,640.796553064662,1193.9,101.6
50,649,126860,143140,640.649355620773,1192.5,106.1
51,650,127047,142953,643.96744542321,1192.3,100.9
52,651,127107,142893,644.550889770836,1185,108.5
53,652,127110,142890,647.520066462168,1198.9,102
54,653,126974,143026,643.446364567332,1185.3,105.6
55,654,127044,142956,645.931659332125,1187.9,101.1
56,655,126902,143098,646.160998318893,1195.8,110.8
57,656,127051,142949,648.727319854847,1187.6,113.2
58,657,127138,142862,650.76582278481,1197.6,107.8
59,658,127229,142771,651.112309074573,1204,111.2
60,659,127238,142762,652.804647599591,1195.7,111.1
