"exponent_type","time_window_width","mean_spec_exp","sd_spec_exp","year"
"s_PSD_high","5 years",2.23725205043081,0.383143323220141,1871
"s_PSD_high","5 years",2.22568145141397,0.361716256822242,1876
"s_PSD_high","5 years",2.22058445513277,0.362192469684706,1881
"s_PSD_high","5 years",2.21619591740119,0.347636757149867,1886
"s_PSD_high","5 years",2.20736501128677,0.371206751595006,1891
"s_PSD_high","5 years",2.23300333958817,0.380675001850693,1896
"s_PSD_high","5 years",2.21910301874154,0.366372684933639,1901
"s_PSD_high","5 years",2.22066750989152,0.344849575732999,1906
"s_PSD_high","5 years",2.24798823602458,0.358578174592991,1911
"s_PSD_high","5 years",2.2495017876756,0.380796409877329,1916
"s_PSD_high","5 years",2.24200890830846,0.367751624576823,1921
"s_PSD_high","5 years",2.23638101440074,0.360301301086868,1926
"s_PSD_high","5 years",2.24227035211953,0.354135606256376,1931
"s_PSD_high","5 years",2.2142826326013,0.348676919740303,1936
"s_PSD_high","5 years",2.2335385005125,0.353876050707066,1941
"s_PSD_high","5 years",2.21148822926347,0.361374265815934,1946
"s_PSD_high","5 years",2.23963014033489,0.343389396844967,1951
"s_PSD_high","5 years",2.23137907867735,0.359005353689745,1956
"s_PSD_high","5 years",2.21457643122102,0.357768571497366,1961
"s_PSD_high","5 years",2.24322007401981,0.361609085095549,1966
"s_PSD_high","5 years",2.22828811364075,0.363475492146621,1971
"s_PSD_high","5 years",2.26289585265205,0.354663675533223,1976
"s_PSD_high","5 years",2.23004922254392,0.370208462009341,1981
"s_PSD_high","5 years",2.23090496818348,0.351369662214128,1986
"s_PSD_high","5 years",2.24142873041111,0.326951459604219,1991
"s_PSD_high","5 years",2.25272775602289,0.332126416356354,1996
"s_PSD_high","5 years",2.22447278933587,0.350840616615569,2001
"s_PSD_high","5 years",2.23725713216649,0.338373735148649,2006
"s_PSD_high","5 years",2.2270779550351,0.341797528836177,2011
"s_PSD_high","5 years",2.24412570477485,0.341000473428036,2016
"s_PSD_high","5 years",2.25952479336544,0.345535340658609,2021
"s_PSD_high","5 years",2.25149497861761,0.340016235061622,2026
"s_PSD_high","5 years",2.24762791463489,0.340030995782588,2031
"s_PSD_high","5 years",2.25479829578907,0.37064391663897,2036
"s_PSD_high","5 years",2.25469308758911,0.365730205592257,2041
"s_PSD_high","5 years",2.25244703104679,0.33862474948276,2046
"s_PSD_high","5 years",2.25378011196397,0.351100723667975,2051
"s_PSD_high","5 years",2.29118724146168,0.336369489144754,2056
"s_PSD_high","5 years",2.27469789327205,0.34395557496642,2061
"s_PSD_high","5 years",2.27548062366766,0.339084312854066,2066
"s_PSD_high","5 years",2.27114701214702,0.342759738573743,2071
"s_PSD_high","5 years",2.29032157553555,0.334706680860589,2076
"s_PSD_high","5 years",2.29797281515726,0.331002741012912,2081
"s_PSD_high","5 years",2.27705886164903,0.329873923918667,2086
"s_PSD_high","5 years",2.29329713619659,0.322133609272164,2091
"s_PSD_low","5 years",0.462237591860165,0.181808649255076,1871
"s_PSD_low","5 years",0.455166704271864,0.170669712975334,1876
"s_PSD_low","5 years",0.493559857467123,0.18100523735006,1881
"s_PSD_low","5 years",0.481374245826715,0.214840029976644,1886
"s_PSD_low","5 years",0.457574508017653,0.197279276734823,1891
"s_PSD_low","5 years",0.477136579340366,0.194480737658325,1896
"s_PSD_low","5 years",0.398557366318428,0.18586444247456,1901
"s_PSD_low","5 years",0.461017779145284,0.18540815284905,1906
"s_PSD_low","5 years",0.455569357422914,0.187283895700812,1911
"s_PSD_low","5 years",0.485884003864331,0.182588875766049,1916
"s_PSD_low","5 years",0.477197375585342,0.183714273568713,1921
"s_PSD_low","5 years",0.460026113883762,0.177645341340056,1926
"s_PSD_low","5 years",0.436508793746835,0.192352880854625,1931
"s_PSD_low","5 years",0.511793860563103,0.193089599578485,1936
"s_PSD_low","5 years",0.414178479187108,0.205232142343525,1941
"s_PSD_low","5 years",0.435161019180482,0.18638377476771,1946
"s_PSD_low","5 years",0.490068205339909,0.186651179148009,1951
"s_PSD_low","5 years",0.49444081170669,0.198050704012048,1956
"s_PSD_low","5 years",0.423438945244344,0.204193246523603,1961
"s_PSD_low","5 years",0.461502344918177,0.193413169481529,1966
"s_PSD_low","5 years",0.475432596730269,0.19598007752269,1971
"s_PSD_low","5 years",0.398628434013564,0.179693207735836,1976
"s_PSD_low","5 years",0.48152522271125,0.191530736225048,1981
"s_PSD_low","5 years",0.406888388400567,0.182421775987777,1986
"s_PSD_low","5 years",0.414507072244965,0.169919612382532,1991
"s_PSD_low","5 years",0.486668157913582,0.182901137962174,1996
"s_PSD_low","5 years",0.488999142549225,0.223459515555704,2001
"s_PSD_low","5 years",0.440173580879548,0.192434990356342,2006
"s_PSD_low","5 years",0.497698253989312,0.228883971195076,2011
"s_PSD_low","5 years",0.49826945093288,0.193264849976844,2016
"s_PSD_low","5 years",0.48669135684679,0.20064524511003,2021
"s_PSD_low","5 years",0.511137995421196,0.194802629718283,2026
"s_PSD_low","5 years",0.465908240233586,0.205733661577418,2031
"s_PSD_low","5 years",0.477516973993306,0.197020260206324,2036
"s_PSD_low","5 years",0.507565441441493,0.205328212914975,2041
"s_PSD_low","5 years",0.461416004450242,0.19931063622096,2046
"s_PSD_low","5 years",0.545330470179183,0.219554237039253,2051
"s_PSD_low","5 years",0.444095843384977,0.194138555675674,2056
"s_PSD_low","5 years",0.522003659453393,0.21631153785203,2061
"s_PSD_low","5 years",0.574391467215891,0.203881862224256,2066
"s_PSD_low","5 years",0.517099130431636,0.191670186701481,2071
"s_PSD_low","5 years",0.504231800691541,0.198554562209521,2076
"s_PSD_low","5 years",0.536305510555851,0.20556940378761,2081
"s_PSD_low","5 years",0.523809136517453,0.216062580192925,2086
"s_PSD_low","5 years",0.52364933584264,0.199522719453587,2091
